Date,Open,High,Low,Close
12-Mar-13,5944.6,5952,5893.65,5914.1
13-Mar-13,5884.8,5893.85,5842.25,5851.2
14-Mar-13,5845.95,5920.15,5791.75,5908.9
15-Mar-13,5914.9,5945.65,5861,5872.6
18-Mar-13,5816.75,5850.2,5814.35,5835.2
19-Mar-13,5859.5,5863.6,5724.3,5745.9
20-Mar-13,5740.55,5745.3,5682.3,5694.4
21-Mar-13,5705.9,5757.75,5647.95,5658.7
22-Mar-13,5659.8,5691.45,5631.8,5651.3
25-Mar-13,5707.3,5718.4,5624.4,5633.8
26-Mar-13,5613.75,5655.3,5612.05,5641.6
28-Mar-13,5647.75,5692.95,5604.85,5682.5
01-Apr-13,5697.35,5720.95,5675.9,5704.4
02-Apr-13,5701.7,5754.6,5687.15,5748.1
03-Apr-13,5740.2,5744.95,5650.1,5672.9
04-Apr-13,5640.65,5644.45,5565.65,5574.7
05-Apr-13,5568.1,5577.3,5534.7,5553.2
08-Apr-13,5550.5,5569.2,5537.05,5542.9
09-Apr-13,5568.75,5603.05,5487,5495.1
10-Apr-13,5536.25,5569.25,5477.2,5558.7
11-Apr-13,5601.65,5610.65,5542.85,5594
12-Apr-13,5520.7,5544.5,5494.9,5528.5
15-Apr-13,5508.5,5592.85,5500.3,5568.4
16-Apr-13,5562.45,5699.25,5555.85,5688.9
17-Apr-13,5708.65,5732.15,5669,5688.7
18-Apr-13,5682.7,5794.35,5681.85,5783.1
22-Apr-13,5789.85,5844.85,5789.8,5834.4
23-Apr-13,5843.1,5844.3,5791.55,5836.9
25-Apr-13,5856.1,5924.6,5853.3,5916.3
26-Apr-13,5899.75,5907.05,5860.5,5871.4
29-Apr-13,5877.6,5918.65,5868.8,5904.1
30-Apr-13,5932.6,5962.3,5867.8,5930.2
02-May-13,5911.4,6019.45,5910.95,5999.3
03-May-13,5993.5,6000.3,5930.15,5944
06-May-13,5944.9,5976.5,5928.45,5971
07-May-13,5983.45,6050.5,5982.95,6043.5
08-May-13,6064.15,6083.55,6024.95,6069.3
09-May-13,6078.35,6084.7,6040.45,6050.1
10-May-13,6046.25,6105.3,6045.6,6094.7
11-May-13,6088.2,6114.55,6084.15,6107.2
13-May-13,6098.2,6104.95,5972.9,5980.4
14-May-13,5989.7,6026.2,5970.05,5995.4
15-May-13,6018.85,6157.1,6018.85,6146.7
16-May-13,6128.25,6187.3,6128.25,6169.9
17-May-13,6172.95,6199.95,6146.15,6187.3
20-May-13,6198,6229.45,6146.05,6156.9
21-May-13,6152.35,6180.25,6102.35,6114.1
22-May-13,6127.05,6147.6,6074.45,6094.5
23-May-13,6050.4,6081.45,5955.7,5967
24-May-13,6010.7,6015.3,5936.8,5983.5
27-May-13,5989.4,6099.9,5975.55,6083.1
28-May-13,6086.35,6127.65,6055.4,6111.2
29-May-13,6120.45,6125.05,6069.8,6104.3
30-May-13,6072.15,6133.75,6072.15,6124
31-May-13,6098.7,6106.25,5975.55,5985.9
03-Jun-13,5997.35,6011,5916.35,5939.3
04-Jun-13,5941.1,5981.6,5910.25,5919.4
05-Jun-13,5908.3,5935.2,5883.7,5923.8
06-Jun-13,5895,5956.55,5869.5,5921.4
07-Jun-13,5900.05,5972.7,5871.3,5881
10-Jun-13,5907.9,5931.65,5857.4,5878
11-Jun-13,5848.75,5868.05,5780.35,5788.8
12-Jun-13,5771.75,5792.9,5738.6,5760.2
13-Jun-13,5709.35,5729.85,5683.1,5699.1
14-Jun-13,5748.95,5819.4,5739.4,5808.4
17-Jun-13,5820.4,5854.9,5770.25,5850
18-Jun-13,5841.9,5863.4,5804.3,5813.6
19-Jun-13,5805.75,5828.4,5777.9,5822.2
20-Jun-13,5754.15,5755,5645.65,5655.9
21-Jun-13,5639.9,5686.15,5616.85,5667.6
24-Jun-13,5638.05,5640,5566.25,5590.2
25-Jun-13,5606.95,5666.25,5570.25,5609.1
26-Jun-13,5627.95,5635.25,5579.35,5588.7
27-Jun-13,5647.95,5699.35,5630.95,5682.3
28-Jun-13,5749.5,5852.95,5749.5,5842.2
01-Jul-13,5834.1,5904.35,5822.2,5898.8
02-Jul-13,5885.5,5898.8,5852.3,5857.5
03-Jul-13,5811.95,5815,5760.4,5770.9
04-Jul-13,5794.75,5848.2,5786.05,5836.9
05-Jul-13,5889.95,5900.45,5858.45,5867.9
08-Jul-13,5833.15,5833.85,5775.55,5811.5
09-Jul-13,5834.6,5864.95,5834.6,5859
10-Jul-13,5869.9,5879.35,5802.85,5816.7
11-Jul-13,5894.5,5948.85,5887.95,5935.1
12-Jul-13,6000.5,6019,5951.15,6009
15-Jul-13,5991.2,6038.2,5980.95,6030.8
16-Jul-13,5930.8,5966.05,5910.95,5955.2
17-Jul-13,5972.25,5989.8,5926.75,5973.3
18-Jul-13,5984.7,6051.1,5974.55,6038
19-Jul-13,6057.2,6066.85,6020.25,6029.2
22-Jul-13,6009.75,6064.15,6004.25,6031.8
23-Jul-13,6064.3,6093.35,6061.3,6077.8
24-Jul-13,6032.2,6047.25,5962.6,5990.5
25-Jul-13,5970.4,5990.65,5896.4,5907.5
26-Jul-13,5937.95,5944.5,5869.5,5886.2
29-Jul-13,5869.95,5886,5825.8,5831.6
30-Jul-13,5836.05,5861.3,5747.6,5755
31-Jul-13,5738.35,5752.1,5675.75,5742
01-Aug-13,5776.9,5808.5,5676.85,5727.8
02-Aug-13,5750.05,5761.85,5649,5677.9
05-Aug-13,5682.4,5721,5661.5,5685.4
06-Aug-13,5664.9,5664.9,5521.8,5542.2
07-Aug-13,5549.3,5561.45,5486.85,5519.1
08-Aug-13,5510.05,5577.6,5510.05,5565.6
